id,name,gender,birth_month,registration_fee
491,MAX,M,Jun-2013,404.0
492,JACKSON ,M,Aug-2014,106.0
493,JADE,F,May-2010,211.0
494,BEETHOVEN,M,Aug-2009,311.0
495,Q ,M,Feb-2007,302.0
496,RIO,M,Aug-2006,401.0
497,APOLLO,M,Dec-2006,301.0
498,PACKARD ,M,Jul-2006,408.0
499,DEXTER,M,Jul-2013,316.0
500,WINSTON ,M,Jan-2005,108.0
501,ZIPPY,F,Dec-2010,303.0
502,KINGSTON,M,Jun-2014,111.0
503,ROCKY,M,Aug-2010,311.0
504,WATSON,M,Apr-2012,307.0
505,KAI ,M,Apr-2010,414.0
506,CYCLOPSE,M,Jul-2011,313.0
507,CODY,M,Dec-1999,110.0
508,LEO,M,Sep-2008,104.0
509,GRACIE,F,Jul-2012,313.0
510,ONYX,M,Jan-2010,318.0
511,CARLY,F,Dec-2010,318.0
512,BUDDY,M,Mar-2014,107.0
513,FOXY,F,Jul-2012,106.0
514,FRENCHIE,M,Aug-2009,104.0
515,ADDISON,F,Feb-2012,107.0
516,ANNIE,F,May-2006,104.0
517,SUKI,F,Feb-2006,108.0
518,LUCHIOUS,M,Jan-2006,108.0
519,BENJI,M,Feb-2008,305.0
520,BENJAMIN,M,Aug-2011,315.0
521,BEAKER,M,Dec-2011,107.0
522,EASTER,F,Jan-2010,112.0
523,PINKY ,F,Jan-2001,103.0
524,SCOUT,F,Aug-2005,303.0
525,SHELDON,M,May-2012,501.0
526,CHINO,M,May-2006,503.0
527,CHIP,M,Apr-2013,105.0
528,MOMO,M,Aug-2011,405.0
529,SCARLETT,F,Jun-2011,107.0
530,MAXIMUS,M,Oct-2009,109.0
531,HUDSON,M,Sep-2012,109.0
532,DUKE,M,Jan-2008,406.0
533,BONITA ,F,May-2013,412.0
534,BLACKY ,M,Aug-2009,310.0
535,TY,M,Jan-2004,407.0
536,RILEY,M,Mar-2004,302.0
537,RIO ,M,Apr-2011,210.0
538,QQ,M,May-2011,405.0
539,SWEET ,F,Feb-2013,202.0
540,LITA,F,Feb-2009,103.0
541,LOLA,F,Jun-2011,108.0
542,FRANK ,M,Oct-2012,104.0
543,SOFIA,F,Mar-2009,302.0
